id,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
35667306,Lincoln Park,60614,41.91385,-87.63496,Apartment,Entire home/apt,2,1,0,1,$104.00 ,
35672328,Edgewater,60660,41.99537,-87.67438,Apartment,Private room,4,1,2,2,$98.00 ,
35673148,West Town,60642,41.90496,-87.66524,House,Entire home/apt,16,2.5,5,9,$299.00 ,
35674694,Norwood Park,60656,41.97895,-87.80309,House,Private room,1,1,1,1,$35.00 ,100
35677473,Lincoln Square,60625,41.96649,-87.68995,Apartment,Entire home/apt,2,1,0,1,$83.00 ,100
35679477,Norwood Park,60656,41.97749,-87.80155,House,Shared room,1,1,1,1,$23.00 ,100
35680628,Lincoln Park,60614,41.92323,-87.63954,Apartment,Entire home/apt,8,2,2,4,$285.00 ,100
35681792,Near North Side,60654,41.88929,-87.63049,Loft,Private room,3,1,1,2,$100.00 ,92
35683163,South Chicago,60649,41.752,-87.55027,Condominium,Entire home/apt,4,1,1,2,$65.00 ,
35688558,Norwood Park,60656,41.97756,-87.80106,House,Private room,2,1,1,1,$55.00 ,93
35688856,Irving Park,60618,41.94887,-87.71198,Apartment,Private room,4,2,1,1,$49.00 ,87
35689227,Irving Park,60618,41.94808,-87.71158,Apartment,Private room,4,2,1,1,$49.00 ,93
35689784,Loop,60605,41.86995,-87.62432,Apartment,Entire home/apt,3,1,1,2,$150.00 ,
35690013,Irving Park,60618,41.94681,-87.71272,Apartment,Private room,4,2,1,1,$49.00 ,88
35705605,West Town,60622,41.8986,-87.67213,Condominium,Entire home/apt,16,2,3,6,$999.00 ,20
35705953,West Town,60622,41.89634,-87.67208,Condominium,Entire home/apt,16,2,3,6,$99.00 ,
35706228,Near South Side,60605,41.86686,-87.62391,Apartment,Private room,2,1,1,1,$200.00 ,
35712972,South Shore,60649,41.76467,-87.57542,Apartment,Entire home/apt,6,1,2,2,$115.00 ,100
35713619,Loop,60605,41.87208,-87.62354,Apartment,Entire home/apt,4,2,2,2,$500.00 ,
35713844,Loop,60605,41.87178,-87.62324,Apartment,Private room,2,1,1,1,$250.00 ,
35713926,Uptown,60640,41.96538,-87.66356,Apartment,Entire home/apt,1,1,0,1,$50.00 ,
